Laptop Pro 14,Electronics,6,450000.00,90000.00
Laptop Air 13,Electronics,4,232000.00,48000.00
Smartphone X,Electronics,5,210000.00,45000.00
Office Chair,Furniture,3,36000.00,10500.00
Monitor 24 Inch,Electronics,2,29000.00,8000.00
Study Table,Furniture,3,28500.00,9900.00
Smart Watch,Wearables,3,25500.00,9900.00
Wireless Headphones,Accessories,5,22500.00,8500.00
Smartphone Lite,Electronics,1,22000.00,5000.00
Desk Lamp,Home & Office,5,9000.00,4500.00
External SSD 1TB,Electronics,1,7800.00,2200.00
USB-C Hub,Accessories,3,6600.00,3000.00
Wireless Mouse,Accessories,5,6000.00,2750.00
Mechanical Keyboard,Accessories,1,3500.00,1400.00
